 ,TopicId,Title,Format,Structure,LearningResourceType,Difficulty,InteractivityType,AggregationLevel,InteractivityLevel,SemanticDensity,LOexev,MaxScore,MaxLearningTime
271,75,LearningObject271,Video,Atomic,Slide,6,Expositive,2,VeryHigh,VeryHigh,Explanatory,51,35
272,76,LearningObject272,Form,Networked,Lecture,2,Expositive,2,Medium,Medium,Evaluative,30,118
273,76,LearningObject273,Video,Linear,Table,2,Mixed,1,High,VeryHigh,Explanatory,73,79
274,77,LearningObject274,Image,Networked,Experiment,5,Mixed,2,High,Medium,Evaluative,78,3
275,77,LearningObject275,Audio,Hierarchical,Experiment,10,Active,1,VeryLow,VeryHigh,Explanatory,91,17
276,77,LearningObject276,Video,Hierarchical,Simulation,3,Active,1,VeryHigh,VeryLow,Explanatory,97,8
277,77,LearningObject277,Form,Collection,Table,3,Expositive,1,Medium,Medium,Evaluative,43,39
278,77,LearningObject278,Image,Networked,Slide,4,Active,1,High,Medium,Evaluative,6,12
279,78,LearningObject279,Application,Atomic,Experiment,8,Active,2,Medium,VeryLow,Evaluative,73,3
280,78,LearningObject280,Text,Atomic,Table,4,Mixed,1,Low,VeryLow,Explanatory,17,51
281,78,LearningObject281,Video,Networked,SelfAssessment,3,Mixed,2,VeryLow,High,Explanatory,83,47
282,78,LearningObject282,Form,Linear,Exercise,7,Expositive,2,Medium,Low,Evaluative,89,5
283,78,LearningObject283,Audio,Atomic,SelfAssessment,5,Expositive,1,High,High,Explanatory,80,93
284,79,LearningObject284,Video,Hierarchical,NarrativeText,7,Active,2,Medium,VeryHigh,Explanatory,60,103
285,79,LearningObject285,Application,Networked,Experiment,2,Active,2,High,Medium,Evaluative,85,15
286,80,LearningObject286,Form,Hierarchical,ProblemStatement,3,Active,1,VeryLow,Medium,Evaluative,76,33
287,80,LearningObject287,Text,Collection,Diagram,5,Mixed,1,Medium,High,Explanatory,20,90
288,80,LearningObject288,Video,Networked,SelfAssessment,4,Active,1,Medium,VeryLow,Explanatory,10,57
289,80,LearningObject289,Image,Collection,Simulation,9,Active,2,VeryHigh,High,Evaluative,99,91
290,81,LearningObject290,Text,Collection,Figure,5,Expositive,2,Low,VeryLow,Explanatory,54,78
291,81,LearningObject291,Form,Linear,Diagram,4,Expositive,1,High,High,Evaluative,77,25
292,82,LearningObject292,Image,Hierarchical,Exercise,7,Mixed,2,High,Low,Evaluative,95,89
293,82,LearningObject293,Form,Collection,Lecture,6,Mixed,1,VeryHigh,Low,Evaluative,69,2
294,82,LearningObject294,Audio,Atomic,Questionnaire,8,Expositive,2,VeryHigh,Low,Explanatory,57,65
295,82,LearningObject295,Text,Collection,Index,4,Mixed,1,VeryHigh,High,Explanatory,22,82
296,83,LearningObject296,Video,Linear,Experiment,8,Mixed,2,Low,High,Explanatory,54,83
297,83,LearningObject297,Form,Hierarchical,Graph,5,Expositive,2,VeryLow,Low,Evaluative,89,58
298,83,LearningObject298,Application,Atomic,Lecture,2,Expositive,2,High,High,Evaluative,92,50
299,84,LearningObject299,Application,Collection,Table,7,Mixed,1,VeryHigh,VeryLow,Evaluative,45,119
300,84,LearningObject300,Text,Collection,Simulation,5,Active,2,VeryLow,Low,Explanatory,40,43
301,84,LearningObject301,Text,Collection,NarrativeText,8,Active,2,VeryLow,VeryLow,Explanatory,24,94
302,85,LearningObject302,Text,Linear,Table,4,Expositive,1,VeryLow,High,Explanatory,82,89
303,85,LearningObject303,Audio,Collection,Simulation,1,Mixed,1,Medium,Low,Explanatory,82,72
304,85,LearningObject304,Image,Hierarchical,Figure,3,Active,2,VeryLow,VeryHigh,Evaluative,86,72
305,85,LearningObject305,Application,Networked,Questionnaire,3,Mixed,1,Low,VeryLow,Evaluative,58,72
306,86,LearningObject306,Video,Atomic,Exam,6,Mixed,1,VeryLow,VeryHigh,Explanatory,49,27
307,86,LearningObject307,Image,Networked,Exercise,6,Active,1,Medium,Low,Evaluative,48,94
308,86,LearningObject308,Application,Networked,Exercise,1,Active,2,VeryLow,High,Evaluative,18,47
309,86,LearningObject309,Video,Hierarchical,Table,9,Expositive,1,Low,VeryHigh,Explanatory,97,6
310,87,LearningObject310,Audio,Atomic,Exercise,5,Expositive,2,High,Low,Explanatory,63,106
311,87,LearningObject311,Form,Linear,Simulation,1,Active,2,VeryLow,Medium,Evaluative,53,29
312,88,LearningObject312,Audio,Hierarchical,Diagram,3,Expositive,1,Medium,Low,Explanatory,42,81
313,88,LearningObject313,Image,Networked,Exercise,7,Active,1,Low,VeryHigh,Evaluative,94,60
314,88,LearningObject314,Application,Hierarchical,Index,9,Active,2,VeryLow,High,Evaluative,86,97
315,89,LearningObject315,Application,Linear,Index,7,Mixed,1,VeryHigh,Medium,Evaluative,43,48
316,89,LearningObject316,Image,Networked,Exercise,9,Active,2,Medium,Medium,Evaluative,77,47
317,89,LearningObject317,Audio,Collection,NarrativeText,4,Mixed,1,VeryHigh,VeryHigh,Explanatory,93,98
318,90,LearningObject318,Video,Networked,Exam,9,Expositive,2,Low,High,Explanatory,39,38
319,90,LearningObject319,Audio,Networked,Figure,8,Mixed,2,VeryHigh,VeryHigh,Explanatory,25,114
320,90,LearningObject320,Application,Hierarchical,ProblemStatement,9,Active,1,Low,High,Evaluative,18,26
321,90,LearningObject321,Application,Networked,Questionnaire,9,Active,1,High,VeryLow,Evaluative,6,63
322,90,LearningObject322,Image,Collection,ProblemStatement,5,Expositive,2,High,Medium,Evaluative,68,9
323,91,LearningObject323,Video,Collection,Exercise,1,Expositive,2,Low,High,Explanatory,53,12
324,91,LearningObject324,Image,Hierarchical,Figure,4,Active,1,VeryHigh,Medium,Evaluative,55,113
325,91,LearningObject325,Application,Collection,Figure,9,Mixed,1,Low,Medium,Evaluative,55,99
326,91,LearningObject326,Form,Linear,Graph,8,Expositive,2,Low,Low,Evaluative,79,2
327,92,LearningObject327,Video,Atomic,Diagram,7,Active,1,VeryLow,High,Explanatory,51,33
328,92,LearningObject328,Form,Collection,Table,1,Mixed,2,Medium,VeryHigh,Evaluative,24,62
329,93,LearningObject329,Audio,Linear,Table,8,Active,2,Low,High,Explanatory,71,45
330,93,LearningObject330,Form,Linear,Slide,4,Expositive,2,High,Low,Evaluative,87,77
331,94,LearningObject331,Application,Linear,Slide,8,Mixed,2,Low,High,Evaluative,12,100
332,94,LearningObject332,Text,Atomic,Diagram,3,Active,2,VeryLow,Low,Explanatory,91,13
333,95,LearningObject333,Image,Collection,Index,3,Mixed,2,Medium,Low,Evaluative,16,56
334,95,LearningObject334,Video,Networked,Exercise,10,Mixed,2,VeryLow,VeryLow,Explanatory,97,29
335,95,LearningObject335,Video,Hierarchical,Slide,4,Expositive,2,Medium,VeryHigh,Explanatory,72,1
336,95,LearningObject336,Form,Linear,Questionnaire,2,Active,2,Medium,VeryLow,Evaluative,73,25
337,95,LearningObject337,Form,Networked,Figure,4,Mixed,1,Low,VeryLow,Evaluative,42,29
338,96,LearningObject338,Image,Collection,Diagram,8,Expositive,2,VeryLow,Low,Evaluative,92,11
339,96,LearningObject339,Audio,Atomic,Slide,8,Active,2,VeryHigh,Medium,Explanatory,32,74
340,96,LearningObject340,Video,Collection,Table,4,Active,2,Medium,VeryLow,Explanatory,66,119
341,97,LearningObject341,Application,Networked,ProblemStatement,6,Active,2,VeryHigh,VeryHigh,Evaluative,79,70
342,97,LearningObject342,Text,Hierarchical,Slide,9,Active,1,VeryLow,Medium,Explanatory,3,117
343,97,LearningObject343,Application,Collection,ProblemStatement,4,Active,1,VeryHigh,VeryHigh,Evaluative,97,13
344,98,LearningObject344,Audio,Collection,Exam,3,Mixed,1,Medium,Low,Explanatory,15,61
345,98,LearningObject345,Image,Collection,NarrativeText,7,Mixed,1,VeryHigh,Medium,Evaluative,84,53
346,99,LearningObject346,Image,Hierarchical,NarrativeText,7,Expositive,1,VeryLow,High,Evaluative,55,54
347,99,LearningObject347,Audio,Linear,Simulation,9,Mixed,1,High,Medium,Explanatory,34,66
348,99,LearningObject348,Audio,Linear,Simulation,10,Expositive,1,VeryHigh,VeryLow,Explanatory,35,38
349,100,LearningObject349,Form,Hierarchical,Questionnaire,6,Expositive,2,Low,Medium,Evaluative,15,44
350,100,LearningObject350,Text,Linear,Index,1,Active,2,Low,Medium,Explanatory,2,22
351,101,LearningObject351,Form,Collection,Experiment,5,Mixed,1,High,Medium,Evaluative,10,72
352,101,LearningObject352,Image,Linear,Figure,6,Mixed,1,VeryHigh,Medium,Evaluative,81,74
353,101,LearningObject353,Audio,Linear,Table,5,Expositive,1,High,High,Explanatory,45,57
354,101,LearningObject354,Audio,Hierarchical,Lecture,9,Mixed,2,VeryHigh,High,Explanatory,35,101
355,101,LearningObject355,Application,Linear,ProblemStatement,10,Active,1,Medium,Low,Evaluative,6,97
356,102,LearningObject356,Application,Networked,Simulation,5,Mixed,2,High,High,Evaluative,74,8
357,102,LearningObject357,Audio,Collection,Slide,7,Expositive,2,VeryHigh,VeryLow,Explanatory,76,4
358,102,LearningObject358,Image,Networked,SelfAssessment,9,Expositive,2,Medium,Low,Evaluative,73,84
359,103,LearningObject359,Video,Collection,Simulation,8,Expositive,2,VeryLow,VeryLow,Explanatory,28,54
360,103,LearningObject360,Image,Linear,Figure,4,Expositive,1,Low,High,Evaluative,97,10
361,103,LearningObject361,Audio,Networked,Slide,6,Mixed,1,High,VeryLow,Explanatory,74,32
362,103,LearningObject362,Video,Collection,Questionnaire,1,Mixed,1,High,VeryHigh,Explanatory,96,15
363,103,LearningObject363,Text,Hierarchical,SelfAssessment,5,Mixed,1,VeryLow,High,Explanatory,95,87
364,104,LearningObject364,Video,Hierarchical,Exercise,2,Active,1,Low,VeryLow,Explanatory,11,50
365,104,LearningObject365,Application,Hierarchical,Exercise,8,Active,1,High,Low,Evaluative,28,86
366,104,LearningObject366,Application,Networked,Index,1,Active,1,High,High,Evaluative,18,46
367,104,LearningObject367,Image,Linear,Lecture,3,Active,1,VeryHigh,High,Evaluative,75,101
368,105,LearningObject368,Image,Linear,Experiment,3,Expositive,1,High,VeryHigh,Evaluative,62,40
369,105,LearningObject369,Audio,Atomic,Questionnaire,2,Mixed,1,Medium,VeryLow,Explanatory,20,48
370,105,LearningObject370,Video,Hierarchical,Exercise,3,Active,1,High,High,Explanatory,74,62
371,105,LearningObject371,Application,Collection,Diagram,6,Expositive,2,VeryHigh,Low,Evaluative,19,99
372,106,LearningObject372,Audio,Hierarchical,SelfAssessment,6,Active,1,High,Low,Explanatory,4,3
373,106,LearningObject373,Image,Atomic,Exam,7,Expositive,1,VeryLow,VeryHigh,Evaluative,31,90
374,107,LearningObject374,Video,Linear,Slide,10,Mixed,1,VeryLow,High,Explanatory,98,82
375,107,LearningObject375,Application,Linear,NarrativeText,3,Expositive,1,VeryHigh,Medium,Evaluative,69,63
376,108,LearningObject376,Audio,Linear,Simulation,1,Expositive,1,Low,VeryLow,Explanatory,46,73
377,108,LearningObject377,Text,Atomic,Graph,5,Active,2,High,Medium,Explanatory,53,67
378,108,LearningObject378,Application,Collection,Exam,2,Active,2,Medium,Medium,Evaluative,96,64
379,109,LearningObject379,Form,Hierarchical,Slide,6,Mixed,1,Medium,VeryHigh,Evaluative,78,94
380,109,LearningObject380,Audio,Networked,NarrativeText,4,Mixed,1,VeryLow,Low,Explanatory,63,9
381,110,LearningObject381,Application,Atomic,Lecture,7,Expositive,1,High,VeryLow,Evaluative,72,84
382,110,LearningObject382,Audio,Linear,Diagram,5,Mixed,1,Medium,Low,Explanatory,27,70
383,110,LearningObject383,Text,Hierarchical,NarrativeText,6,Active,2,Low,High,Explanatory,85,24
384,111,LearningObject384,Video,Networked,Slide,7,Mixed,2,High,High,Explanatory,95,74
385,111,LearningObject385,Form,Networked,Graph,4,Expositive,2,High,High,Evaluative,69,46
386,112,LearningObject386,Image,Collection,Table,5,Mixed,2,Low,VeryLow,Evaluative,18,8
387,112,LearningObject387,Audio,Hierarchical,Slide,1,Expositive,2,VeryLow,Medium,Explanatory,58,31
388,112,LearningObject388,Video,Atomic,Slide,8,Mixed,2,High,High,Explanatory,50,13
389,113,LearningObject389,Image,Atomic,Exercise,5,Mixed,2,Medium,Low,Evaluative,67,70
390,113,LearningObject390,Video,Collection,Experiment,1,Active,2,Medium,VeryLow,Explanatory,68,10
391,114,LearningObject391,Text,Networked,ProblemStatement,6,Mixed,2,VeryLow,Low,Explanatory,52,103
392,114,LearningObject392,Image,Hierarchical,Slide,9,Active,1,VeryHigh,Low,Evaluative,17,44
393,114,LearningObject393,Text,Atomic,SelfAssessment,9,Mixed,2,VeryHigh,VeryLow,Explanatory,49,117
394,114,LearningObject394,Video,Linear,ProblemStatement,4,Expositive,2,High,Medium,Explanatory,51,89
395,115,LearningObject395,Audio,Atomic,Questionnaire,1,Expositive,1,Low,VeryHigh,Explanatory,49,45
396,115,LearningObject396,Text,Networked,ProblemStatement,8,Active,1,High,Low,Explanatory,15,40
397,115,LearningObject397,Form,Atomic,Graph,6,Mixed,1,VeryHigh,High,Evaluative,88,67
398,116,LearningObject398,Form,Hierarchical,SelfAssessment,5,Expositive,1,Low,High,Evaluative,29,34
399,116,LearningObject399,Video,Atomic,ProblemStatement,8,Expositive,1,VeryHigh,VeryHigh,Explanatory,7,27
400,116,LearningObject400,Video,Linear,NarrativeText,6,Expositive,2,High,Medium,Explanatory,65,72
401,116,LearningObject401,Video,Atomic,Index,1,Active,2,VeryLow,VeryHigh,Explanatory,7,27
402,117,LearningObject402,Video,Networked,SelfAssessment,2,Mixed,1,High,VeryLow,Explanatory,2,77
403,117,LearningObject403,Application,Atomic,Figure,9,Mixed,1,VeryLow,High,Evaluative,60,48
404,118,LearningObject404,Form,Collection,Experiment,3,Expositive,2,High,Low,Evaluative,49,8
405,118,LearningObject405,Audio,Linear,Graph,6,Active,1,VeryHigh,High,Explanatory,21,69
406,119,LearningObject406,Form,Networked,Slide,1,Active,2,Low,VeryLow,Evaluative,65,34
407,119,LearningObject407,Text,Atomic,Simulation,4,Active,1,Medium,Medium,Explanatory,70,114
408,119,LearningObject408,Application,Networked,Index,3,Expositive,2,VeryHigh,Medium,Evaluative,96,27
409,119,LearningObject409,Image,Hierarchical,Questionnaire,3,Expositive,1,Low,Low,Evaluative,79,28
410,119,LearningObject410,Image,Hierarchical,Diagram,10,Active,1,High,High,Evaluative,67,4
411,120,LearningObject411,Video,Hierarchical,Experiment,8,Expositive,1,High,Low,Explanatory,64,17
412,120,LearningObject412,Application,Linear,Graph,3,Active,2,High,VeryHigh,Evaluative,65,21
413,121,LearningObject413,Image,Linear,Table,10,Active,2,Low,High,Evaluative,83,15
414,121,LearningObject414,Text,Collection,Exercise,9,Active,1,Medium,Medium,Explanatory,93,80
415,121,LearningObject415,Audio,Atomic,Figure,4,Mixed,1,Low,High,Explanatory,54,53
416,121,LearningObject416,Application,Collection,Diagram,10,Expositive,1,VeryHigh,VeryLow,Evaluative,20,88
417,122,LearningObject417,Video,Atomic,Simulation,3,Mixed,1,Medium,Low,Explanatory,89,52
418,122,LearningObject418,Application,Collection,Slide,1,Mixed,2,Low,Medium,Evaluative,26,66
419,123,LearningObject419,Audio,Linear,Index,4,Mixed,1,High,Medium,Explanatory,52,4
420,123,LearningObject420,Form,Linear,SelfAssessment,8,Expositive,1,VeryLow,High,Evaluative,47,84
421,124,LearningObject421,Image,Collection,SelfAssessment,9,Expositive,2,High,Medium,Evaluative,80,4
422,124,LearningObject422,Application,Atomic,Simulation,1,Active,2,High,VeryLow,Evaluative,60,67
423,124,LearningObject423,Form,Atomic,Table,6,Active,2,Medium,Low,Evaluative,98,59
424,124,LearningObject424,Text,Atomic,ProblemStatement,3,Active,2,VeryHigh,VeryLow,Explanatory,85,88
425,125,LearningObject425,Application,Networked,Experiment,2,Expositive,1,High,VeryHigh,Evaluative,8,11
426,125,LearningObject426,Application,Hierarchical,NarrativeText,7,Expositive,2,High,Medium,Evaluative,42,42
427,125,LearningObject427,Video,Linear,Slide,3,Mixed,2,High,High,Explanatory,15,36
428,126,LearningObject428,Video,Hierarchical,Exercise,5,Mixed,1,VeryHigh,VeryLow,Explanatory,90,17
429,126,LearningObject429,Audio,Atomic,Index,4,Mixed,2,Low,Medium,Explanatory,73,77
430,126,LearningObject430,Form,Linear,Exercise,7,Active,1,Medium,Low,Evaluative,93,57
431,127,LearningObject431,Application,Hierarchical,Index,10,Active,2,Low,VeryLow,Evaluative,96,11
432,127,LearningObject432,Video,Linear,Slide,7,Expositive,1,VeryLow,Low,Explanatory,41,68
433,127,LearningObject433,Application,Hierarchical,Slide,6,Expositive,2,VeryHigh,Low,Evaluative,91,46
434,128,LearningObject434,Image,Linear,Index,4,Expositive,2,High,High,Evaluative,86,79
435,128,LearningObject435,Video,Linear,Table,10,Expositive,2,VeryLow,High,Explanatory,85,117
436,128,LearningObject436,Text,Hierarchical,Exercise,3,Active,2,Medium,High,Explanatory,91,25
437,128,LearningObject437,Form,Networked,ProblemStatement,1,Active,1,VeryHigh,Low,Evaluative,33,91
438,128,LearningObject438,Text,Linear,Exam,1,Mixed,1,Medium,Medium,Explanatory,71,57
439,129,LearningObject439,Audio,Atomic,Figure,1,Active,2,Medium,VeryLow,Explanatory,97,34
440,129,LearningObject440,Form,Linear,Index,10,Expositive,2,VeryHigh,Medium,Evaluative,3,63
441,129,LearningObject441,Audio,Atomic,Index,2,Mixed,1,Low,High,Explanatory,61,87
442,129,LearningObject442,Form,Hierarchical,NarrativeText,6,Active,1,High,Low,Evaluative,47,87
443,129,LearningObject443,Form,Networked,Exam,1,Expositive,1,High,Low,Evaluative,85,12
444,130,LearningObject444,Application,Networked,Index,7,Active,1,High,Low,Evaluative,17,73
445,130,LearningObject445,Form,Linear,NarrativeText,1,Active,2,Medium,Medium,Evaluative,37,92
446,130,LearningObject446,Application,Atomic,Slide,8,Active,2,Low,High,Evaluative,59,50
447,130,LearningObject447,Video,Atomic,Table,4,Mixed,1,High,High,Explanatory,10,118
448,130,LearningObject448,Image,Networked,Diagram,8,Active,1,Low,VeryHigh,Evaluative,73,3
449,131,LearningObject449,Application,Hierarchical,Exam,4,Active,1,High,High,Evaluative,77,89
450,131,LearningObject450,Audio,Collection,SelfAssessment,3,Expositive,1,Medium,VeryLow,Explanatory,9,20
451,131,LearningObject451,Video,Networked,Exam,1,Active,2,VeryLow,Low,Explanatory,97,79
452,132,LearningObject452,Image,Linear,ProblemStatement,6,Mixed,2,VeryLow,Low,Evaluative,28,67
453,132,LearningObject453,Image,Atomic,Graph,4,Active,2,High,High,Evaluative,23,62
454,132,LearningObject454,Image,Collection,NarrativeText,3,Expositive,1,Medium,High,Evaluative,66,44
455,132,LearningObject455,Text,Networked,Table,2,Expositive,1,VeryLow,VeryLow,Explanatory,95,108
456,132,LearningObject456,Application,Hierarchical,SelfAssessment,4,Expositive,1,High,VeryLow,Evaluative,8,92
457,133,LearningObject457,Audio,Networked,ProblemStatement,2,Active,1,VeryLow,Medium,Explanatory,90,41
458,133,LearningObject458,Text,Hierarchical,Diagram,10,Expositive,1,High,High,Explanatory,16,50
459,133,LearningObject459,Image,Networked,Slide,3,Mixed,1,VeryLow,Low,Evaluative,25,47
460,133,LearningObject460,Image,Linear,Experiment,8,Active,2,Medium,VeryLow,Evaluative,94,48
461,134,LearningObject461,Application,Hierarchical,Graph,8,Expositive,1,VeryLow,VeryHigh,Evaluative,6,68
462,134,LearningObject462,Audio,Hierarchical,Lecture,6,Mixed,2,VeryHigh,Medium,Explanatory,22,5
463,134,LearningObject463,Audio,Linear,Lecture,9,Mixed,2,Low,Medium,Explanatory,91,37
464,134,LearningObject464,Audio,Linear,NarrativeText,4,Expositive,1,Low,Low,Explanatory,5,86
465,135,LearningObject465,Audio,Networked,Graph,2,Mixed,1,Low,VeryLow,Explanatory,64,100
466,135,LearningObject466,Video,Linear,Slide,5,Mixed,2,VeryLow,VeryLow,Explanatory,38,58
467,135,LearningObject467,Audio,Hierarchical,Diagram,1,Active,2,Medium,Medium,Explanatory,54,103
468,135,LearningObject468,Application,Networked,Index,2,Expositive,2,Medium,VeryLow,Evaluative,40,92
469,135,LearningObject469,Video,Hierarchical,Exercise,6,Expositive,2,High,VeryHigh,Explanatory,11,63
470,136,LearningObject470,Application,Hierarchical,Diagram,9,Active,2,Medium,Low,Evaluative,58,62
471,136,LearningObject471,Application,Networked,Index,4,Expositive,2,VeryHigh,Low,Evaluative,71,53
472,136,LearningObject472,Form,Linear,Figure,5,Active,1,VeryLow,Medium,Evaluative,86,85
473,136,LearningObject473,Audio,Atomic,Exercise,8,Active,1,Low,Low,Explanatory,34,52
474,137,LearningObject474,Image,Networked,Slide,6,Expositive,2,Medium,Medium,Evaluative,70,92
475,137,LearningObject475,Audio,Collection,Slide,8,Active,2,Medium,Medium,Explanatory,58,37
476,137,LearningObject476,Form,Linear,Experiment,4,Expositive,2,Medium,High,Evaluative,44,72
477,137,LearningObject477,Application,Atomic,SelfAssessment,4,Active,2,High,High,Evaluative,68,104
478,138,LearningObject478,Text,Hierarchical,Figure,1,Expositive,2,Medium,VeryLow,Explanatory,50,120
479,138,LearningObject479,Image,Atomic,Exercise,10,Expositive,2,Medium,High,Evaluative,6,85
480,138,LearningObject480,Audio,Atomic,Experiment,2,Expositive,2,VeryLow,VeryHigh,Explanatory,50,73
481,138,LearningObject481,Text,Hierarchical,Slide,3,Active,2,VeryLow,High,Explanatory,67,48
482,139,LearningObject482,Audio,Hierarchical,Exam,9,Active,1,VeryHigh,VeryLow,Explanatory,17,74
483,139,LearningObject483,Form,Atomic,NarrativeText,5,Mixed,1,High,VeryLow,Evaluative,43,36
484,140,LearningObject484,Application,Networked,Table,6,Mixed,2,High,Medium,Evaluative,46,89
485,140,LearningObject485,Form,Networked,Graph,8,Mixed,1,High,Medium,Evaluative,8,46
486,140,LearningObject486,Text,Atomic,Exercise,7,Mixed,2,VeryHigh,High,Explanatory,64,107
487,140,LearningObject487,Video,Collection,Exercise,9,Expositive,2,VeryLow,VeryHigh,Explanatory,46,57
488,140,LearningObject488,Form,Linear,Lecture,8,Mixed,1,VeryHigh,Low,Evaluative,7,46
489,141,LearningObject489,Application,Hierarchical,Exercise,8,Mixed,2,VeryHigh,Low,Evaluative,57,46
490,141,LearningObject490,Audio,Collection,Graph,8,Expositive,1,VeryHigh,VeryLow,Explanatory,35,61
491,141,LearningObject491,Text,Hierarchical,Simulation,1,Expositive,2,High,Medium,Explanatory,54,35
492,141,LearningObject492,Text,Atomic,Exercise,7,Mixed,2,Medium,Medium,Explanatory,13,75
493,142,LearningObject493,Application,Linear,Graph,2,Expositive,2,VeryLow,High,Evaluative,57,83
494,142,LearningObject494,Video,Networked,Lecture,7,Mixed,1,VeryHigh,VeryLow,Explanatory,85,84
495,143,LearningObject495,Text,Networked,Diagram,1,Active,2,VeryHigh,High,Explanatory,88,104
496,143,LearningObject496,Text,Collection,Index,5,Expositive,1,VeryHigh,VeryHigh,Explanatory,46,66
497,143,LearningObject497,Form,Atomic,ProblemStatement,8,Expositive,2,Low,Low,Evaluative,9,84
498,143,LearningObject498,Audio,Collection,Simulation,3,Active,1,VeryLow,Medium,Explanatory,75,33
499,143,LearningObject499,Text,Collection,SelfAssessment,4,Expositive,2,High,High,Explanatory,78,46
500,144,LearningObject500,Image,Atomic,Diagram,10,Expositive,2,Low,Medium,Evaluative,11,84
501,144,LearningObject501,Text,Networked,Simulation,9,Expositive,1,High,VeryHigh,Explanatory,100,32
502,144,LearningObject502,Application,Hierarchical,Figure,8,Expositive,2,High,High,Evaluative,83,82
503,145,LearningObject503,Audio,Linear,Diagram,8,Expositive,2,VeryLow,Low,Explanatory,67,98
504,145,LearningObject504,Text,Linear,Exercise,10,Active,1,Medium,VeryHigh,Explanatory,55,97
505,145,LearningObject505,Video,Networked,Slide,7,Expositive,1,High,High,Explanatory,45,27
506,145,LearningObject506,Application,Hierarchical,Index,7,Expositive,2,Medium,Low,Evaluative,1,84
507,145,LearningObject507,Video,Hierarchical,Questionnaire,9,Mixed,1,VeryHigh,VeryLow,Explanatory,20,40
508,146,LearningObject508,Text,Networked,Experiment,7,Mixed,2,High,VeryHigh,Explanatory,24,116
509,146,LearningObject509,Text,Hierarchical,Graph,9,Expositive,1,Medium,High,Explanatory,1,105
510,146,LearningObject510,Form,Linear,Lecture,10,Mixed,2,VeryHigh,Medium,Evaluative,58,100
511,146,LearningObject511,Image,Atomic,Slide,5,Mixed,2,VeryLow,VeryLow,Evaluative,5,119
512,147,LearningObject512,Video,Atomic,Table,2,Mixed,1,Medium,VeryHigh,Explanatory,99,111
513,147,LearningObject513,Image,Hierarchical,SelfAssessment,5,Active,2,High,VeryLow,Evaluative,22,112
514,147,LearningObject514,Image,Networked,SelfAssessment,1,Active,1,High,Low,Evaluative,14,90
515,148,LearningObject515,Application,Linear,Lecture,4,Expositive,2,VeryLow,VeryHigh,Evaluative,36,66
516,148,LearningObject516,Audio,Hierarchical,SelfAssessment,9,Expositive,1,High,Medium,Explanatory,96,81
517,149,LearningObject517,Audio,Hierarchical,SelfAssessment,5,Mixed,1,High,VeryHigh,Explanatory,12,78
518,149,LearningObject518,Application,Networked,Slide,9,Expositive,2,Low,High,Evaluative,1,11
519,149,LearningObject519,Form,Linear,Experiment,2,Expositive,2,High,High,Evaluative,55,53
520,149,LearningObject520,Form,Linear,Exercise,7,Mixed,1,VeryLow,VeryHigh,Evaluative,20,64
521,149,LearningObject521,Form,Linear,Slide,10,Mixed,1,High,VeryLow,Evaluative,5,57
522,150,LearningObject522,Image,Linear,Experiment,8,Mixed,2,Medium,VeryHigh,Evaluative,49,39
523,150,LearningObject523,Form,Networked,NarrativeText,9,Expositive,2,Medium,Medium,Evaluative,14,90
524,150,LearningObject524,Image,Linear,Figure,5,Mixed,2,Medium,High,Evaluative,88,76
525,150,LearningObject525,Text,Networked,NarrativeText,4,Active,1,Low,High,Explanatory,70,38
526,150,LearningObject526,Form,Atomic,Graph,6,Active,1,Medium,Medium,Evaluative,97,23
527,151,LearningObject527,Form,Linear,Graph,2,Mixed,2,Medium,VeryLow,Evaluative,93,99
528,151,LearningObject528,Audio,Networked,Simulation,7,Active,2,Medium,VeryHigh,Explanatory,97,56
529,152,LearningObject529,Application,Networked,Simulation,10,Active,2,VeryHigh,VeryHigh,Evaluative,17,111
530,152,LearningObject530,Audio,Hierarchical,Questionnaire,2,Expositive,2,Low,Low,Explanatory,52,33
531,152,LearningObject531,Video,Networked,Simulation,1,Active,2,Low,VeryHigh,Explanatory,29,111
532,153,LearningObject532,Application,Hierarchical,Diagram,2,Mixed,2,VeryLow,VeryHigh,Evaluative,84,7
533,153,LearningObject533,Audio,Linear,Questionnaire,7,Mixed,1,Low,High,Explanatory,93,7
534,153,LearningObject534,Video,Networked,Graph,8,Expositive,2,VeryHigh,Medium,Explanatory,44,117
535,153,LearningObject535,Video,Atomic,Table,2,Active,1,High,High,Explanatory,76,82
536,154,LearningObject536,Text,Atomic,NarrativeText,8,Mixed,2,VeryLow,High,Explanatory,66,62
537,154,LearningObject537,Application,Networked,ProblemStatement,3,Active,2,VeryLow,VeryLow,Evaluative,58,60
538,155,LearningObject538,Application,Collection,Exam,7,Expositive,1,Medium,Medium,Evaluative,94,85
539,155,LearningObject539,Video,Linear,ProblemStatement,8,Mixed,2,Medium,VeryHigh,Explanatory,20,39
540,155,LearningObject540,Text,Linear,Index,4,Expositive,2,Low,VeryHigh,Explanatory,20,43
541,156,LearningObject541,Audio,Hierarchical,Simulation,4,Expositive,2,VeryLow,High,Explanatory,16,2
542,156,LearningObject542,Audio,Hierarchical,NarrativeText,2,Expositive,2,High,Low,Explanatory,72,19
543,156,LearningObject543,Application,Linear,Index,7,Expositive,1,VeryLow,Low,Evaluative,67,46
544,156,LearningObject544,Form,Collection,Lecture,5,Expositive,2,Medium,High,Evaluative,26,115
